DateTime,currency,event,actual,previous,Close_5min_before,Close_at_release,Close_5min_after,Close_24h_after,Close_48h_after
2024-01-02 14:45:00,USD,Final Manufacturing PMI,47.9,48.2,141.939,141.947,141.99,143.252,144.581
2024-01-02 15:00:00,USD,Construction Spending m/m,0.4%,1.2%,141.982,141.952,141.958,143.258,144.567
2024-01-03 15:00:00,USD,ISM Manufacturing PMI,47.4,46.7,143.3,143.258,143.167,144.567,144.668
2024-01-04 00:30:00,JPY,Final Manufacturing PMI,47.9,47.7,143.617,143.64,143.824,144.674,0.0
2024-01-04 12:30:00,USD,Challenger Job Cuts y/y,-20.2%,-40.8%,144.563,144.615,144.647,144.77,0.0
2024-01-04 13:15:00,USD,ADP Non-Farm Employment Change,164K,101K,144.598,144.642,144.69,144.817,0.0
2024-01-04 13:30:00,USD,Unemployment Claims,202K,220K,144.628,144.618,144.579,144.808,0.0
2024-01-04 14:45:00,USD,Final Services PMI,51.4,51.3,144.598,144.581,144.515,144.636,0.0
2024-01-04 15:30:00,USD,Natural Gas Storage,-14B,-87B,144.566,144.578,144.566,144.673,0.0
2024-01-04 16:00:00,USD,Crude Oil Inventories,-5.5M,-7.1M,144.585,144.609,144.593,144.763,0.0
2024-01-04 23:50:00,JPY,Monetary Base y/y,7.8%,8.9%,144.841,144.858,144.832,0.0,0.0
2024-01-05 05:00:00,JPY,Consumer Confidence,37.2,36.1,145.155,145.198,145.254,0.0,0.0
2024-01-08 20:00:00,USD,Consumer Credit m/m,23.8B,5.8B,143.865,143.924,143.832,144.545,145.462
2024-01-08 23:30:00,JPY,Tokyo Core CPI y/y,2.1%,2.3%,143.605,143.634,143.664,144.809,145.362
2024-01-09 11:00:00,USD,NFIB Small Business Index,91.9,90.6,144.288,144.331,144.349,145.563,145.945
2024-01-09 15:02:00,USD,RCM/TIPP Economic Optimism,44.7,40.0,144.554,144.435,144.418,145.655,145.517
2024-01-09 23:30:00,JPY,Average Cash Earnings y/y,0.2%,1.5%,144.84,144.809,144.828,145.362,145.032
2024-01-10 03:35:00,JPY,10-y Bond Auction,0.60|2.9,0.70|2.8,144.906,144.954,144.958,145.402,144.979
2024-01-10 15:00:00,USD,Final Wholesale Inventories m/m,-0.2%,-0.2%,145.649,145.678,145.653,145.49,144.862
2024-01-10 15:30:00,USD,Crude Oil Inventories,1.3M,-5.5M,145.744,145.729,145.696,145.447,144.887
2024-01-10 18:01:00,USD,10-y Bond Auction,4.02|2.6,4.30|2.5,145.64,145.668,145.619,145.316,0.0
2024-01-11 05:00:00,JPY,Leading Indicators,107.7%,108.9%,145.511,145.541,145.566,145.116,0.0
2024-01-11 13:30:00,USD,Core CPI m/m,0.3%,0.3%,145.929,145.973,145.987,144.911,0.0
2024-01-11 15:30:00,USD,Natural Gas Storage,-140B,-14B,145.458,145.447,145.452,144.887,0.0
2024-01-11 18:01:00,USD,30-y Bond Auction,4.23|2.4,4.34|2.4,145.329,145.316,145.234,0.0,0.0
2024-01-11 19:00:00,USD,Federal Budget Balance,-129.4B,-314.0B,145.04,145.112,145.154,0.0,0.0
2024-01-11 23:50:00,JPY,Bank Lending y/y,3.1%,2.8%,145.032,144.999,144.979,0.0,0.0
2024-01-12 03:35:00,JPY,30-y Bond Auction,1.63|3.0,1.62|2.6,144.975,144.979,145.062,0.0,0.0
2024-01-12 05:00:00,JPY,Economy Watchers Sentiment,50.7,49.5,145.104,145.116,145.103,0.0,0.0
2024-01-12 13:30:00,USD,Core PPI m/m,0.0%,0.0%,144.917,144.911,144.933,0.0,0.0
2024-01-14 23:50:00,JPY,M2 Money Stock y/y,2.3%,2.3%,145.142,145.149,145.16,146.097,147.319
2024-01-15 05:59:00,JPY,Prelim Machine Tool Orders y/y,-9.9%,-13.6%,145.688,145.672,145.629,146.66,147.753
2024-01-15 23:50:00,JPY,PPI y/y,0.0%,0.3%,146.175,146.097,146.12,147.319,147.93
2024-01-17 14:15:00,USD,Industrial Production m/m,0.1%,0.0%,148.276,148.301,148.295,148.159,148.182
2024-01-17 15:00:00,USD,Business Inventories m/m,-0.1%,-0.1%,148.253,148.27,148.269,148.226,148.185
2024-01-17 23:50:00,JPY,Core Machinery Orders m/m,-4.9%,0.7%,147.923,147.93,147.912,148.313,0.0
2024-01-18 04:30:00,JPY,Revised Industrial Production m/m,-0.9%,-0.9%,147.81,147.722,147.669,148.072,0.0
2024-01-18 13:30:00,USD,Unemployment Claims,187K,203K,148.146,148.111,148.135,148.211,0.0
2024-01-18 16:00:00,USD,Crude Oil Inventories,-2.5M,1.3M,148.205,148.188,148.175,148.14,0.0
2024-01-18 23:30:00,JPY,National Core CPI y/y,2.3%,2.5%,148.344,148.323,148.308,0.0,0.0
2024-01-19 04:30:00,JPY,Tertiary Industry Activity m/m,-0.7%,-0.2%,148.05,148.072,148.123,0.0,0.0
2024-01-19 15:00:00,USD,Prelim UoM Consumer Sentiment,78.8,69.7,148.158,148.185,148.156,0.0,0.0
2024-01-19 21:00:00,USD,TIC Long-Term Purchases,126.1B,3.4B,0.0,0.0,0.0,0.0,147.853
2024-01-22 15:00:00,USD,CB Leading Index m/m,-0.1%,-0.5%,148.02,148.039,148.089,148.393,147.555
2024-01-23 05:00:00,JPY,BOJ Core CPI y/y,2.6%,2.7%,147.672,147.739,147.859,147.546,147.647
2024-01-23 14:59:00,USD,Richmond Manufacturing Index,-15,-11,148.375,148.378,148.381,147.562,147.838
2024-01-23 23:50:00,JPY,Trade Balance,-0.41T,-0.35T,147.832,147.857,147.87,147.772,147.765
2024-01-24 00:30:00,JPY,Flash Manufacturing PMI,48.0,47.9,147.951,147.902,147.922,147.739,147.783
2024-01-25 13:30:00,USD,Advance GDP q/q,3.3%,4.9%,147.731,147.719,147.744,148.032,0.0
2024-01-25 15:00:00,USD,New Home Sales,664K,615K,147.806,147.827,147.805,148.108,0.0
2024-01-25 15:30:00,USD,Natural Gas Storage,-326B,-154B,147.783,147.761,147.764,148.057,0.0
2024-01-25 23:30:00,JPY,Tokyo Core CPI y/y,1.6%,2.1%,147.706,147.692,147.721,0.0,0.0
2024-01-26 13:30:00,USD,Core PCE Price Index m/m,0.2%,0.1%,148.003,148.032,148.076,0.0,0.0
2024-01-26 15:00:00,USD,Pending Home Sales m/m,8.3%,-0.3%,148.087,148.108,148.087,0.0,0.0
2024-01-29 23:30:00,JPY,Unemployment Rate,2.4%,2.5%,147.35,147.318,147.322,147.667,146.777
2024-01-30 14:00:00,USD,S&P/CS Composite-20 HPI y/y,5.4%,4.9%,147.754,147.762,147.742,146.729,146.342
2024-01-30 15:00:00,USD,CB Consumer Confidence,114.8,108.0,147.606,147.602,147.611,146.371,146.275
2024-01-31 05:00:00,JPY,Consumer Confidence,38.0,37.2,147.695,147.724,147.747,146.843,146.7
2024-01-31 13:15:00,USD,ADP Non-Farm Employment Change,107K,158K,146.431,146.408,146.419,146.388,148.488
2024-01-31 14:45:00,USD,Chicago PMI,46.0,46.9,146.34,146.121,146.172,146.224,148.292
2024-01-31 15:30:00,USD,Crude Oil Inventories,1.2M,-9.2M,147.265,147.252,147.429,146.325,148.305
2024-01-31 19:00:00,USD,Federal Funds Rate,5.50%,5.50%,146.91,147.006,147.002,146.457,0.0
2024-02-01 03:35:00,JPY,10-y Bond Auction,0.74|3.6,0.60|2.9,146.642,146.685,146.65,146.632,0.0
2024-02-01 13:30:00,USD,Unemployment Claims,224K,215K,146.409,146.476,146.415,148.389,0.0
2024-02-01 14:45:00,USD,Final Manufacturing PMI,50.7,50.3,146.244,146.224,146.272,148.292,0.0
2024-02-01 15:00:00,USD,ISM Manufacturing PMI,49.1,47.4,146.261,146.275,146.286,148.309,0.0
2024-02-01 15:30:00,USD,Natural Gas Storage,-197B,-326B,146.321,146.325,146.309,148.305,0.0
2024-02-01 23:50:00,JPY,Monetary Base y/y,4.8%,7.8%,146.421,146.45,146.438,0.0,0.0
2024-02-02 13:30:00,USD,Average Hourly Earnings m/m,0.6%,0.4%,148.432,148.389,148.344,0.0,0.0
2024-02-02 15:00:00,USD,Revised UoM Consumer Sentiment,79.0,78.8,148.306,148.309,148.26,0.0,0.0
2024-02-05 14:45:00,USD,Final Services PMI,52.5,52.9,148.634,148.685,148.673,147.977,148.119
2024-02-05 15:00:00,USD,ISM Services PMI,53.4,50.6,148.696,148.705,148.693,147.941,148.132
2024-02-05 23:30:00,JPY,Average Cash Earnings y/y,1.0%,0.7%,148.549,148.495,148.483,147.884,148.411
2024-02-06 15:06:00,USD,RCM/TIPP Economic Optimism,44.0,44.7,147.949,147.908,147.873,148.142,149.373
2024-02-07 03:35:00,JPY,30-y Bond Auction,1.79|3.2,1.63|3.0,147.993,148.026,148.03,148.828,149.527
2024-02-07 05:00:00,JPY,Leading Indicators,110.0%,108.1%,147.91,147.926,147.96,148.746,149.44
2024-02-07 15:30:00,USD,Crude Oil Inventories,5.5M,1.2M,148.143,148.154,148.183,149.332,149.3
2024-02-07 18:01:00,USD,10-y Bond Auction,4.09|2.6,4.02|2.6,148.054,148.049,148.042,149.279,0.0
2024-02-07 20:00:00,USD,Consumer Credit m/m,1.6B,23.5B,148.037,148.059,148.059,149.359,0.0
2024-02-07 23:50:00,JPY,Bank Lending y/y,3.1%,3.0%,148.453,148.44,148.484,149.43,0.0
2024-02-08 05:00:00,JPY,Economy Watchers Sentiment,50.2,50.7,148.762,148.746,148.774,149.44,0.0
2024-02-08 13:30:00,USD,Unemployment Claims,218K,227K,149.268,149.304,149.306,149.335,0.0
2024-02-08 15:30:00,USD,Natural Gas Storage,-75B,-197B,149.343,149.332,149.354,149.3,0.0
2024-02-08 18:01:00,USD,30-y Bond Auction,4.36|2.4,4.23|2.4,149.28,149.279,149.259,0.0,0.0
2024-02-08 23:50:00,JPY,M2 Money Stock y/y,2.4%,2.3%,149.403,149.43,149.416,0.0,0.0
2024-02-12 14:45:00,USD,Cleveland Fed Inflation Expectations,3.4%,4.2%,149.358,149.381,149.393,150.824,150.56
2024-02-12 19:00:00,USD,Federal Budget Balance,-21.9B,-129.4B,149.403,149.409,149.365,150.699,150.534
2024-02-12 23:50:00,JPY,PPI y/y,0.2%,0.2%,149.545,149.556,149.562,150.422,150.152
2024-02-13 05:58:00,JPY,Prelim Machine Tool Orders y/y,-14.1%,-9.6%,149.504,149.523,149.504,150.592,150.037
2024-02-13 11:00:00,USD,NFIB Small Business Index,89.9,91.9,150.565,150.582,150.536,150.612,150.071
2024-02-13 13:30:00,USD,Core CPI m/m,0.4%,0.3%,150.793,150.785,150.79,150.49,149.985
2024-02-14 15:30:00,USD,Crude Oil Inventories,12.0M,5.5M,150.521,150.523,150.51,149.954,150.259
2024-02-14 23:50:00,JPY,Prelim GDP Price Index y/y,3.8%,5.3%,150.159,150.152,150.136,150.243,0.0
2024-02-15 04:30:00,JPY,Revised Industrial Production m/m,1.4%,1.8%,150.058,150.053,150.035,150.226,0.0
2024-02-15 14:15:00,USD,Industrial Production m/m,-0.1%,0.0%,149.857,149.923,149.923,150.108,0.0
2024-02-15 15:00:00,USD,Business Inventories m/m,0.4%,-0.1%,149.968,149.95,149.979,150.245,0.0
2024-02-15 21:00:00,USD,TIC Long-Term Purchases,160.2B,99.7B,150.061,150.07,150.115,0.0,0.0
2024-02-16 04:30:00,JPY,Tertiary Industry Activity m/m,0.7%,-1.4%,150.246,150.226,150.23,0.0,0.0
2024-02-16 15:00:00,USD,Prelim UoM Consumer Sentiment,79.6,79.0,150.189,150.245,150.245,0.0,0.0
2024-02-18 23:50:00,JPY,Core Machinery Orders m/m,2.7%,-4.9%,149.994,149.992,150.02,150.331,149.977
2024-02-20 15:00:00,USD,CB Leading Index m/m,-0.4%,-0.2%,150.009,150.021,150.054,150.183,150.542
2024-02-20 23:50:00,JPY,Trade Balance,0.24T,-0.44T,149.994,149.977,149.978,150.284,150.52
2024-02-22 00:30:00,JPY,Flash Manufacturing PMI,47.2,48.0,150.285,150.282,150.282,150.581,0.0
2024-02-22 14:45:00,USD,Flash Manufacturing PMI,51.5,50.7,150.575,150.55,150.552,150.435,0.0
2024-02-22 15:00:00,USD,Existing Home Sales,4.00M,3.88M,150.55,150.542,150.54,150.455,0.0
2024-02-22 15:30:00,USD,Natural Gas Storage,-60B,-49B,150.505,150.518,150.564,150.475,0.0
2024-02-22 16:00:00,USD,Crude Oil Inventories,3.5M,12.0M,150.508,150.504,150.508,150.497,0.0
2024-02-25 23:50:00,JPY,SPPI y/y,2.1%,2.4%,150.514,150.491,150.513,150.462,150.606
2024-02-26 15:00:00,USD,New Home Sales,661K,651K,150.752,150.748,150.741,150.53,150.695
2024-02-26 23:30:00,JPY,National Core CPI y/y,2.0%,2.3%,150.433,150.41,150.419,150.572,149.803
2024-02-27 13:30:00,USD,Durable Goods Orders m/m,-6.1%,-0.3%,150.34,150.363,150.375,150.667,149.913
2024-02-27 14:00:00,USD,S&P/CS Composite-20 HPI y/y,6.1%,5.4%,150.444,150.472,150.501,150.709,149.871
2024-02-27 14:59:00,USD,Richmond Manufacturing Index,-5,-15,150.539,150.53,150.518,150.695,149.966
2024-02-27 15:00:00,USD,CB Consumer Confidence,106.7,110.9,150.527,150.53,150.512,150.695,149.925
2024-02-28 23:50:00,JPY,Prelim Industrial Production m/m,-7.5%,1.4%,149.855,149.823,149.836,150.359,0.0
2024-02-29 05:00:00,JPY,Housing Starts y/y,-7.5%,-4.0%,149.768,149.797,149.832,150.637,0.0
2024-02-29 05:02:00,JPY,BOJ Core CPI y/y,2.6%,2.6%,149.715,149.824,149.851,150.591,0.0
2024-02-29 14:45:00,USD,Chicago PMI,44.0,46.0,149.916,149.97,149.968,150.111,0.0
2024-02-29 15:00:00,USD,Pending Home Sales m/m,-4.9%,5.7%,149.976,149.925,149.931,150.123,0.0
2024-02-29 15:30:00,USD,Natural Gas Storage,-96B,-60B,149.933,149.945,149.945,150.122,0.0
2024-02-29 23:30:00,JPY,Unemployment Rate,2.4%,2.4%,150.372,150.386,150.387,0.0,0.0
2024-03-01 00:30:00,JPY,Final Manufacturing PMI,47.2,47.2,150.432,150.465,150.463,0.0,0.0
2024-03-01 05:00:00,JPY,Consumer Confidence,39.1,38.0,150.596,150.637,150.606,0.0,0.0
2024-03-01 14:45:00,USD,Final Manufacturing PMI,52.2,51.5,150.11,150.111,150.112,0.0,0.0
2024-03-01 15:00:00,USD,ISM Manufacturing PMI,47.8,49.1,150.102,150.123,150.1,0.0,0.0
2024-03-03 23:50:00,JPY,Capital Spending q/y,16.4%,3.4%,150.186,150.204,150.26,150.515,149.944
