event,Number_of_Events,Avg_Move_5min,Avg_Move_24h,Avg_Move_48h,Max_Move
Prelim Benchmark Payrolls Revision,1,0.16599999999999682,1.3870000000000005,0.43899999999999295,0.43899999999999295
BOJ Policy Rate,4,0.1255000000000095,0.4867500000000078,0.7645000000000053,1.186000000000007
Federal Funds Rate,8,0.06599999999999895,0.8116249999999994,1.4653749999999945,3.563999999999993
TIC Long-Term Purchases,12,0.06472727272726915,0.24718181818181764,0.7671818181818227,1.382000000000005
Federal Budget Balance,10,0.06442857142857049,0.6354285714285725,0.7231428571428548,1.4720000000000084
Consumer Confidence,12,0.061666666666667425,0.7034999999999935,1.0348333333333315,2.065000000000026
Import Prices m/m,1,0.0589999999999975,0.0589999999999975,1.1709999999999923,1.1709999999999923
Current Account,2,0.05550000000000921,0.2849999999999824,0.6744999999999948,1.304000000000002
NFIB Small Business Index,12,0.05158333333333095,0.6193333333333323,0.9758333333333317,2.475999999999999
Final Wholesale Inventories m/m,9,0.048777777777780154,0.32333333333332664,0.5089999999999988,1.4120000000000061
Revised Industrial Production m/m,11,0.048181818181818284,0.32399999999999934,0.7185454545454543,1.3460000000000036
Bank Lending y/y,12,0.047749999999995886,0.4760833333333328,0.7624166666666644,1.6619999999999777
S&P/CS Composite-20 HPI y/y,12,0.04699999999999468,0.839249999999995,1.3520909090909108,3.709000000000003
BOJ Core CPI y/y,12,0.04583333333333665,0.7449166666666684,0.881083333333334,3.390999999999991
ISM Services PMI,11,0.04309090909090814,0.884909090909084,1.0637272727272669,3.012999999999977
Capital Spending q/y,4,0.042999999999992156,0.5664999999999978,0.8517500000000098,1.90300000000002
Crude Oil Inventories,43,0.04150000000000326,0.8290952380952381,1.1962142857142875,4.439999999999998
ISM Manufacturing PMI,12,0.04099999999999682,1.273749999999995,1.7069166666666693,5.724999999999994
30-y Bond Auction,24,0.04031578947368225,0.5168421052631575,0.8235789473684164,1.7419999999999902
Leading Indicators,12,0.03825000000000026,0.25933333333333053,0.6170000000000021,1.6049999999999898
JOLTS Job Openings,5,0.03779999999999859,0.673399999999998,0.7573999999999955,1.641999999999996
Consumer Credit m/m,12,0.03744444444444639,0.5715555555555561,0.836333333333335,1.5379999999999825
Prelim Industrial Production m/m,10,0.03729999999999904,0.6912999999999982,0.930400000000003,2.929000000000002
Economy Watchers Sentiment,12,0.03575000000000254,0.39416666666667055,0.8459166666666675,2.2489999999999952
Challenger Job Cuts y/y,8,0.03485714285713876,0.8758571428571429,0.923714285714295,1.3840000000000146
Unemployment Claims,17,0.034411764705886166,0.7865882352941218,0.8708125000000031,2.7409999999999854
National Core CPI y/y,12,0.033916666666669926,0.04666666666666922,0.688916666666664,2.1769999999999925
