day,month,year,date,time,currency,impact,event,actual,forecast,previous
,,2024,MonJan 1,All Day,JPY,,Bank Holiday,,,
,,2024,MonJan 1,All Day,USD,,Bank Holiday,,,
,,2024,TueJan 2,All Day,JPY,,Bank Holiday,,,
,,2024,TueJan 2,3:45pm,USD,,Final Manufacturing PMI,47.9,48.4,48.2
,,2024,TueJan 2,4:00pm,USD,,Construction Spending m/m,0.4%,0.6%,1.2%
,,2024,WedJan 3,All Day,JPY,,Bank Holiday,,,
,,2024,WedJan 3,2:30pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,WedJan 3,4:00pm,USD,,ISM Manufacturing PMI,47.4,47.2,46.7
,,2024,WedJan 3,,USD,,JOLTS Job Openings,8.79M,8.84M,8.85M
,,2024,WedJan 3,,USD,,ISM Manufacturing Prices,45.2,49.5,49.9
,,2024,WedJan 3,All Day,USD,,Omdia Total Vehicle Sales,15.8M,15.5M,15.3M
,,2024,WedJan 3,8:00pm,USD,,FOMC Meeting Minutes,,,
,,2024,WedJan 3,10:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,ThuJan 4,1:30am,JPY,,Final Manufacturing PMI,47.9,47.7,47.7
,,2024,ThuJan 4,1:30pm,USD,,Challenger Job Cuts y/y,-20.2%,,-40.8%
,,2024,ThuJan 4,2:15pm,USD,,ADP Non-Farm Employment Change,164K,120K,101K
,,2024,ThuJan 4,2:30pm,USD,,Unemployment Claims,202K,217K,220K
,,2024,ThuJan 4,3:45pm,USD,,Final Services PMI,51.4,51.3,51.3
,,2024,ThuJan 4,4:30pm,USD,,Natural Gas Storage,-14B,-33B,-87B
,,2024,ThuJan 4,5:00pm,USD,,Crude Oil Inventories,-5.5M,-3.2M,-7.1M
,,2024,FriJan 5,12:50am,JPY,,Monetary Base y/y,7.8%,9.0%,8.9%
,,2024,FriJan 5,6:00am,JPY,,Consumer Confidence,37.2,36.4,36.1
,,2024,FriJan 5,,USD,,Average Hourly Earnings m/m,0.4%,0.3%,0.4%
,,2024,FriJan 5,,USD,,Non-Farm Employment Change,216K,168K,173K
,,2024,FriJan 5,,USD,,Unemployment Rate,3.7%,3.8%,3.7%
,,2024,FriJan 5,,USD,,ISM Services PMI,50.6,52.5,52.7
,,2024,FriJan 5,,USD,,Factory Orders m/m,2.6%,2.0%,-3.4%
,,2024,FriJan 5,7:30pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,MonJan 8,All Day,JPY,,Bank Holiday,,,
,,2024,MonJan 8,6:30pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,MonJan 8,9:00pm,USD,,Consumer Credit m/m,23.8B,8.9B,5.8B
,,2024,TueJan 9,12:30am,JPY,,Tokyo Core CPI y/y,2.1%,2.1%,2.3%
,,2024,TueJan 9,,JPY,,Household Spending y/y,-2.9%,-2.2%,-2.5%
,,2024,TueJan 9,12:00pm,USD,,NFIB Small Business Index,91.9,90.7,90.6
,,2024,TueJan 9,,USD,,Trade Balance,-63.2B,-64.9B,-64.5B
,,2024,TueJan 9,4:02pm,USD,,RCM/TIPP Economic Optimism,44.7,42.0,40.0
,,2024,TueJan 9,6:00pm,USD,,FOMC Member Barr Speaks,,,
,,2024,TueJan 9,10:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedJan 10,12:30am,JPY,,Average Cash Earnings y/y,0.2%,1.5%,1.5%
,,2024,WedJan 10,4:35am,JPY,,10-y Bond Auction,0.60|2.9,,0.70|2.8
,,2024,WedJan 10,4:00pm,USD,,Final Wholesale Inventories m/m,-0.2%,-0.2%,-0.2%
,,2024,WedJan 10,4:30pm,USD,,Crude Oil Inventories,1.3M,-0.2M,-5.5M
,,2024,WedJan 10,7:01pm,USD,,10-y Bond Auction,4.02|2.6,,4.30|2.5
,,2024,WedJan 10,9:15pm,USD,,FOMC Member Williams Speaks,,,
,,2024,ThuJan 11,6:00am,JPY,,Leading Indicators,107.7%,107.9%,108.9%
,,2024,ThuJan 11,2:30pm,USD,,Core CPI m/m,0.3%,0.3%,0.3%
,,2024,ThuJan 11,,USD,,Core CPI y/y,3.9%,3.8%,4.0%
,,2024,ThuJan 11,,USD,,CPI m/m,0.3%,0.2%,0.1%
,,2024,ThuJan 11,,USD,,CPI y/y,3.4%,3.2%,3.1%
,,2024,ThuJan 11,,USD,,Unemployment Claims,202K,209K,203K
