iter	RMSE
0	4.845495294
1	4.680416468
2	4.53053058
3	4.37209762
4	4.226056335
5	4.088811974
6	3.948037924
7	3.826534715
8	3.726187598
9	3.617843145
10	3.521811619
11	3.410664405
12	3.293955787
13	3.190462778
14	3.091270546
15	3.009609367
16	2.917829128
17	2.832728627
18	2.746247605
19	2.670815129
20	2.593802483
21	2.518972492
22	2.455015747
23	2.389242799
24	2.335085193
25	2.285260409
26	2.227847639
27	2.179077652
28	2.13802864
29	2.087686458
30	2.042810311
31	2.000242987
32	1.96122027
33	1.925987575
34	1.889684201
35	1.853837339
36	1.820199427
37	1.791437673
38	1.756961534
39	1.732287302
40	1.710194169
41	1.680881438
42	1.655951725
43	1.631579137
44	1.617120115
45	1.600255654
46	1.584394885
47	1.56582945
48	1.546918336
49	1.532860988
50	1.51623065
51	1.506117559
52	1.494959829
53	1.482067245
54	1.46538459
55	1.451393597
56	1.439861526
57	1.428436356
58	1.417019577
59	1.405367878
60	1.396586969
61	1.387620489
62	1.377911017
63	1.36913719
64	1.359682846
65	1.35026557
66	1.343475866
67	1.334146544
68	1.328016642
69	1.321393419
70	1.313663084
71	1.307616363
72	1.299691461
73	1.293547385
74	1.287150876
75	1.281155162
76	1.273104405
77	1.268291032
78	1.262859994
79	1.257507766
80	1.25205074
81	1.24746049
82	1.243252159
83	1.238339588
84	1.234164403
85	1.233446873
86	1.22846531
87	1.225408987
88	1.220623022
89	1.216211369
90	1.213000051
91	1.210282611
92	1.203524019
93	1.202906379
94	1.201840688
95	1.195107059
96	1.19453688
97	1.193853612
98	1.193461718
99	1.188809726
100	1.184835882
101	1.184286827
102	1.18081316
103	1.177570165
104	1.172458279
105	1.169247778
106	1.168278226
107	1.167771476
108	1.165460041
109	1.164759094
110	1.164022239
111	1.163212647
112	1.160038989
113	1.1562515
114	1.15543347
115	1.152780507
116	1.152060421
117	1.151061455
118	1.148519758
119	1.147975171
120	1.147106244
121	1.142974314
122	1.137606303
123	1.136683648
124	1.135802399
125	1.134999128
126	1.134367442
127	1.133530039
128	1.132840715
129	1.129081631
130	1.126446969
131	1.125701812
132	1.124914328
133	1.124250338
134	1.123230804
135	1.122562941
136	1.121741024
137	1.119938455
138	1.119123178
139	1.118314963
140	1.117385075
141	1.111980553
142	1.107825311
143	1.106905962
144	1.106006151
145	1.105097046
146	1.104057109
147	1.103249768
148	1.102265271
149	1.097570353
150	1.093937146
151	1.090516477
152	1.089762622
153	1.088780876
154	1.087975796
155	1.087025639
156	1.08602645
157	1.084726364
158	1.083778501
159	1.082834857
160	1.081861211
161	1.080934258
162	1.077188977
163	1.072999074
164	1.070149068
165	1.069203625
166	1.068277412
167	1.066532932
168	1.063513467
169	1.062560588
170	1.061665563
171	1.060726962
172	1.059834924
173	1.058927833
174	1.057951884
175	1.053816365
176	1.052926967
177	1.051691935
178	1.050716699
179	1.049375459
180	1.048507736
181	1.047649982
182	1.046513631
183	1.045673067
184	1.044841495
185	1.043779236
186	1.042918974
187	1.037911906
188	1.037103897
189	1.03430982
190	1.033501778
191	1.032685253
192	1.031566822
193	1.030776605
194	1.029996478
195	1.027436981
196	1.026675893
197	1.025197251
198	1.020321632
199	1.019521294
200	1.018287858
201	1.017452285
202	1.016695334
203	1.015894254
204	1.015153398
205	1.014231424
206	1.013510641
207	1.012824189
208	1.011918749
209	1.011216815
210	1.010283825
211	1.006343412
212	1.005652766
213	1.005000762
214	1.003672559
215	0.999265252
216	0.998577951
217	0.9979009415
218	0.9971676007
219	0.9964587895
220	0.9958264797
221	0.9952017513
222	0.9905775252
223	0.9899749938
224	0.9875679495
225	0.9869521011
226	0.9859607287
227	0.9853361633
228	0.9847173406
229	0.9841002138
230	0.980675065
231	0.9800158477
232	0.9793733812
233	0.9787306407
234	0.9775245005
235	0.9762357991
236	0.9753533075
237	0.9744160778
238	0.9709972797
239	0.9704002799
240	0.9698255642
241	0.9692093785
242	0.9685976743
243	0.9649504848
244	0.9643530787
245	0.9638043703
246	0.9632546699
247	0.9619624278
248	0.9613936719
249	0.9607881427
250	0.9596399893
251	0.9585010302
252	0.9579560565
253	0.9574441787
254	0.9568927891
255	0.9563512758
256	0.9557716793
257	0.9552444586
258	0.9514393782
259	0.9505885305
260	0.9496398132
261	0.9490471582
262	0.9480310821
263	0.9475198046
264	0.9469759565
265	0.9443622495
266	0.9432480023
267	0.9427056772
268	0.9421864736
269	0.9416861196
270	0.9405642619
271	0.9395704241
272	0.9385594644
273	0.93804476
274	0.9361558655
275	0.9356549206
276	0.9351693149
277	0.9346681245
278	0.9341786758
279	0.931920287
280	0.9279596803
281	0.9274611247
282	0.9269717045
283	0.9261246523
284	0.9249521094
285	0.9242429339
286	0.9237413324
287	0.9213558708
288	0.9208680365
289	0.9203878764
290	0.9199316918
291	0.9194467113
292	0.918976743
293	0.9182557742
294	0.9175690042
295	0.9170998411
296	0.916629472
297	0.916183402
298	0.9150421923
299	0.9145715822
300	0.9135043469
301	0.9130496852
302	0.9118691632
303	0.9106558729
304	0.910198594
305	0.9097603212
306	0.9092654964
307	0.9088214599
308	0.908382076
309	0.907945256
310	0.9056181219
311	0.9051860611
312	0.9047456284
313	0.9043278362
314	0.9003259753
315	0.8992605576
316	0.8980754466
317	0.8976551683
318	0.8965740146
319	0.894454955
320	0.8940227198
321	0.8935903546
322	0.893167705
323	0.8927382798
324	0.8900615546
325	0.8894431393
326	0.8883114359
327	0.88746359
328	0.88407299
329	0.8828783746
330	0.8824516082
331	0.8820330034
332	0.8810849949
333	0.88005613
334	0.8794897604
335	0.8784099154
336	0.8774176116
337	0.8766219282
338	0.8762023742
339	0.8757939021
340	0.8753827074
341	0.8742515446
342	0.873839843
343	0.8734248425
344	0.8723771542
345	0.8719737903
346	0.8713013386
347	0.870139795
348	0.8697158511
349	0.8673696173
350	0.8669824308
351	0.8634477533
352	0.8630363494
353	0.8626511415
354	0.862252972
355	0.8618575059
356	0.8605239552
357	0.8591231487
358	0.8582368904
359	0.8578581698
360	0.8572675902
361	0.856874386
362	0.8565001256
363	0.8561138528
364	0.8551463222
365	0.8544310514
366	0.8530725362
367	0.8527023329
368	0.8523285474
369	0.8519480428
370	0.8515724216
371	0.8512123083
372	0.8484427201
373	0.8480824637
374	0.8477266088
375	0.847003796
376	0.8463135953
377	0.8441814247
378	0.8438172932
379	0.841907685
