iter	Passed	Remaining
0	58	29173
1	114	28471
2	171	28448
3	226	28085
4	289	28654
5	355	29261
6	410	28914
7	419	25776
8	471	25703
9	521	25555
10	575	25586
11	638	25955
12	691	25889
13	774	26900
14	816	26404
15	898	27173
16	952	27063
17	1007	26980
18	1071	27120
19	1131	27149
20	1143	26078
21	1276	27736
22	1285	26658
23	1360	26986
24	1418	26943
25	1430	26072
26	1490	26109
27	1540	25961
28	1593	25876
29	1644	25766
30	1650	24969
31	1680	24575
32	1741	24640
33	1800	24676
34	1860	24718
35	1919	24746
36	1975	24717
37	2028	24657
38	2046	24189
39	2053	23611
40	2109	23614
41	2128	23209
42	2188	23256
43	2259	23415
44	2320	23462
45	2364	23334
46	2425	23380
47	2490	23451
48	2554	23513
49	2615	23539
50	2674	23549
51	2729	23517
52	2801	23631
53	2877	23766
54	2985	24155
55	3055	24224
56	3115	24210
57	3171	24170
58	3226	24113
59	3282	24074
60	3338	24027
61	3426	24203
62	3509	24346
63	3578	24379
64	3635	24331
65	3695	24302
66	3757	24282
67	3816	24247
68	3835	23955
69	3896	23932
70	3951	23874
71	4100	24377
72	4170	24392
73	4188	24114
74	4220	23918
75	4278	23870
76	4334	23812
77	4385	23725
78	4438	23654
79	4494	23595
80	4546	23519
81	4599	23447
82	4653	23377
83	4703	23294
84	4757	23225
85	4768	22953
86	4818	22875
87	4870	22801
88	4919	22719
89	4970	22644
90	5023	22576
91	5054	22415
92	5103	22334
93	5154	22262
94	5204	22188
95	5258	22127
96	5266	21881
97	5318	21816
98	5327	21579
99	5378	21515
100	5428	21443
101	5478	21375
102	5527	21304
103	5574	21227
104	5627	21171
105	5675	21096
106	5723	21020
107	5729	20797
108	5779	20733
109	5790	20530
110	5841	20470
111	5886	20394
112	5942	20351
113	5991	20287
114	6043	20233
115	6096	20179
116	6146	20119
117	6172	19983
118	6219	19913
119	6229	19728
120	6274	19654
121	6318	19576
122	6362	19500
123	6406	19425
124	6449	19349
125	6493	19273
126	6503	19100
127	6546	19025
128	6571	18898
129	6611	18818
130	6653	18741
131	6694	18662
132	6736	18590
133	6780	18519
134	6823	18447
135	6864	18373
136	6905	18298
137	7010	18389
138	7062	18342
139	7105	18270
140	7146	18196
141	7190	18128
142	7235	18064
143	7277	17991
144	7319	17920
145	7365	17859
146	7412	17800
147	7462	17749
148	7512	17696
149	7564	17649
150	7608	17584
151	7654	17525
152	7700	17464
153	7748	17408
154	7798	17357
155	7843	17295
156	7888	17234
157	7934	17174
158	7979	17113
159	8024	17052
160	8073	16998
161	8122	16946
162	8165	16882
163	8211	16823
164	8255	16761
165	8298	16696
166	8341	16633
167	8385	16571
168	8430	16511
169	8473	16449
170	8519	16392
171	8566	16336
172	8613	16280
173	8659	16224
174	8707	16171
175	8753	16114
176	8796	16052
177	8839	15990
178	8884	15932
179	8927	15871
180	8971	15810
181	9014	15750
182	9057	15689
183	9100	15629
184	9140	15564
185	9184	15505
186	9228	15446
187	9275	15393
188	9323	15342
189	9368	15284
190	9413	15229
191	9461	15177
192	9509	15126
193	9558	15076
194	9604	15021
195	9649	14967
196	9728	14963
197	9834	15000
198	9885	14952
199	9932	14898
200	9978	14843
201	10028	14793
202	10074	14739
203	10120	14685
204	10169	14634
205	10217	14581
206	10263	14527
207	10312	14477
208	10355	14418
209	10398	14359
210	10441	14301
211	10484	14243
212	10527	14185
213	10571	14128
214	10613	14068
215	10655	14009
216	10696	13950
217	10743	13898
218	10787	13841
219	10829	13782
220	10871	13724
221	10912	13665
222	10956	13609
223	11000	13553
224	11044	13498
225	11087	13442
226	11129	13385
227	11172	13328
228	11215	13272
229	11258	13216
230	11302	13162
231	11344	13105
232	11387	13049
233	11432	12995
234	11474	12939
235	11517	12884
236	11561	12830
237	11611	12781
238	11656	12728
239	11699	12674
240	11747	12625
241	11792	12572
242	11837	12519
243	11883	12468
244	11924	12411
245	11964	12353
246	12005	12297
247	12046	12241
248	12089	12186
249	12133	12133
250	12177	12080
251	12221	12027
252	12265	11974
253	12308	11921
254	12352	11868
255	12396	11815
256	12502	11821
257	12565	11786
258	12611	11735
259	12654	11681
260	12697	11626
261	12740	11573
262	12784	11520
263	12827	11466
264	12873	11415
265	12919	11365
266	12963	11313
267	13009	11262
268	13054	11210
269	13099	11158
270	13144	11107
271	13188	11055
272	13235	11005
273	13279	10953
274	13327	10904
275	13372	10852
276	13417	10801
277	13461	10749
278	13506	10698
279	13550	10646
280	13595	10595
281	13646	10549
282	13699	10504
283	13751	10458
284	13798	10409
285	13844	10359
286	13895	10312
287	13944	10264
288	13989	10214
289	14050	10174
290	14101	10127
291	14151	10080
292	14203	10034
293	14253	9987
294	14303	9939
295	14356	9894
296	14408	9848
297	14462	9803
298	14526	9765
299	14584	9722
300	14637	9677
301	14683	9627
302	14730	9577
303	14773	9524
304	14816	9472
305	14857	9419
306	14897	9365
307	14939	9313
308	14981	9260
309	15021	9207
310	15063	9154
311	15187	9151
312	15231	9099
313	15278	9050
314	15319	8997
315	15359	8943
316	15402	8891
317	15443	8838
318	15486	8786
319	15527	8734
320	15567	8681
321	15607	8627
322	15647	8574
323	15690	8523
324	15733	8472
325	15777	8421
326	15825	8372
327	15867	8321
328	15909	8268
329	15950	8217
330	15992	8165
331	16033	8113
332	16072	8060
333	16114	8008
334	16155	7957
335	16195	7905
336	16235	7852
337	16277	7801
338	16316	7749
339	16356	7697
340	16397	7645
341	16439	7594
342	16488	7547
343	16533	7497
344	16575	7446
345	16616	7395
346	16661	7346
347	16706	7297
348	16749	7247
349	16792	7196
350	16836	7146
351	16877	7096
352	16918	7045
353	16960	6995
354	17003	6945
355	17047	6895
356	17089	6845
357	17132	6795
358	17174	6745
359	17215	6695
360	17259	6645
361	17300	6595
362	17338	6543
363	17377	6492
364	17418	6442
365	17458	6392
366	17499	6341
367	17539	6291
368	17579	6240
369	17618	6190
370	17662	6141
371	17710	6093
372	17755	6045
373	17796	5995
374	17846	5948
375	17888	5899
376	17932	5850
377	17974	5801
